epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.326,1.5713,4.38524,1.38886,0,0,0,0,1.38464,4.49127,1.39286,1.54e-05,1.54e-05,1.54e-05
2,27.8068,1.34385,4.2728,1.27004,0,0,0,0,1.09441,4.3768,1.16054,3.39639e-05,3.39639e-05,3.39639e-05
3,33.349,1.11988,4.17941,1.16342,0,0,0,0,0.90397,4.24854,1.01657,5.17656e-05,5.17656e-05,5.17656e-05
4,39.2206,1.06369,3.99427,1.13256,0,0,0,0,0.88078,4.1914,0.98307,6.88049e-05,6.88049e-05,6.88049e-05
5,45.9365,1.02134,3.82101,1.1103,0,0,0,0,0.85876,4.09662,0.94438,8.50819e-05,8.50819e-05,8.50819e-05
6,52.0125,1.01007,3.52129,1.09211,0.17308,0.14583,0.13012,0.11459,0.83083,4.04035,0.93168,0.000100597,0.000100597,0.000100597
7,59.1624,1.02551,3.12503,1.1113,0.22729,0.60714,0.43966,0.36831,0.82033,3.89243,0.93918,0.000115349,0.000115349,0.000115349
8,65.8878,1.00139,2.69476,1.15296,0.17241,0.77917,0.48758,0.39302,0.86552,3.69402,0.9757,0.000129339,0.000129339,0.000129339
9,72.3506,0.94546,2.27977,1.10505,0.13922,0.9375,0.52043,0.42276,0.89035,3.31661,0.96552,0.000142567,0.000142567,0.000142567
10,79.7921,1.01599,2.19275,1.17082,0.78103,0.26484,0.54477,0.43696,0.89537,3.07645,0.97922,0.000155033,0.000155033,0.000155033
11,85.9638,0.9794,2.00252,1.15032,0.84428,0.48088,0.60507,0.4648,0.88744,2.87868,0.9775,0.000166736,0.000166736,0.000166736
12,91.7744,0.9392,1.80658,1.11052,0.85132,0.47538,0.64197,0.49464,0.9112,2.78341,1.00222,0.000177677,0.000177677,0.000177677
13,97.8535,0.99891,1.64007,1.13927,0.88451,0.49581,0.64907,0.49973,0.87798,2.73975,0.98697,0.000187855,0.000187855,0.000187855
14,103.909,0.93597,1.48132,1.092,0.85482,0.49824,0.7593,0.58287,0.90322,2.65132,1.02619,0.000197272,0.000197272,0.000197272
15,110.162,0.95018,1.49119,1.12421,0.87103,0.47672,0.86638,0.66537,0.92594,2.47894,1.03412,0.000205926,0.000205926,0.000205926
16,116.45,0.90341,1.35078,1.09102,0.86073,0.5034,0.88897,0.68436,0.94086,2.42784,1.04003,0.000213817,0.000213817,0.000213817
17,122.462,0.91161,1.40072,1.06227,0.85716,0.51646,0.87511,0.67445,0.92883,2.39084,1.03973,0.000220947,0.000220947,0.000220947
18,128.497,0.86939,1.29661,1.04523,0.86911,0.58045,0.89131,0.69644,0.89833,2.27288,1.03302,0.000227314,0.000227314,0.000227314
19,134.974,0.88967,1.26169,1.06973,0.84677,0.60666,0.9102,0.72238,0.88104,2.11833,1.03151,0.000232919,0.000232919,0.000232919
20,142.3,0.86233,1.16386,1.02181,0.80447,0.87911,0.93419,0.73083,0.90142,1.7546,1.04775,0.000237761,0.000237761,0.000237761
21,148.573,0.84786,1.12185,1.03047,0.79438,0.88855,0.92457,0.71687,0.89498,1.61121,1.03665,0.00023254,0.00023254,0.00023254
22,154.829,0.86954,1.11513,1.03518,0.87527,0.84008,0.91821,0.70891,0.9026,1.50008,1.03564,0.000224917,0.000224917,0.000224917
23,161.014,0.88015,1.1721,1.04751,0.8693,0.85746,0.92229,0.7089,0.91363,1.44398,1.04081,0.000217294,0.000217294,0.000217294
24,167.861,0.86966,1.09829,1.03158,0.86031,0.93958,0.93182,0.71817,0.88588,1.31676,1.01705,0.000209671,0.000209671,0.000209671
25,174.302,0.83543,1.04537,1.03563,0.85376,0.92726,0.93186,0.72024,0.87688,1.30218,1.00589,0.000202048,0.000202048,0.000202048
26,180.094,0.78462,1.01332,0.99999,0.81663,0.92545,0.93185,0.72154,0.87748,1.3119,1.00357,0.000194425,0.000194425,0.000194425
27,186.007,0.81747,1.0649,1.01055,0.81579,0.91967,0.93436,0.71938,0.86936,1.27134,1.00152,0.000186802,0.000186802,0.000186802
28,192.492,0.79808,1.00683,0.98186,0.80463,0.95121,0.94917,0.73292,0.86931,1.21385,1.00998,0.000179179,0.000179179,0.000179179
29,198.325,0.8386,1.12482,1.05729,0.82205,0.945,0.95505,0.74061,0.88389,1.20068,1.01662,0.000171556,0.000171556,0.000171556
30,204.24,0.78171,0.97906,1.0077,0.835,0.94637,0.96883,0.75137,0.86792,1.15429,1.00004,0.000163933,0.000163933,0.000163933
31,210.469,0.78289,0.99963,1.04867,0.88253,0.94297,0.9798,0.76024,0.85556,1.1072,0.98749,0.00015631,0.00015631,0.00015631
32,216.205,0.78536,1.04115,0.99894,0.92579,0.91784,0.97853,0.76649,0.86378,1.08557,0.99186,0.000148687,0.000148687,0.000148687
33,222.083,0.81859,0.9964,1.00146,0.92779,0.94532,0.9774,0.76992,0.86161,1.06789,0.99282,0.000141064,0.000141064,0.000141064
34,227.884,0.80938,1.04383,1.01989,0.95453,0.9454,0.9769,0.77044,0.84919,1.04594,0.98586,0.000133441,0.000133441,0.000133441
35,233.838,0.79295,1.00751,0.98478,0.96325,0.94351,0.97687,0.77148,0.83348,1.01187,0.97907,0.000125818,0.000125818,0.000125818
36,239.533,0.79654,0.95383,1.01633,0.95726,0.94155,0.97185,0.75982,0.83116,0.98287,0.98,0.000118195,0.000118195,0.000118195
37,246.234,0.78752,0.98296,1.00649,0.9315,0.97889,0.97203,0.75729,0.84285,0.98185,0.9856,0.000110572,0.000110572,0.000110572
38,252.674,0.7662,0.97783,1.0117,0.93058,0.97485,0.97218,0.7581,0.85114,0.97102,0.98852,0.000102949,0.000102949,0.000102949
39,259.515,0.75105,0.91917,0.98255,0.93981,0.96768,0.97425,0.76146,0.86551,0.96675,0.99743,9.5326e-05,9.5326e-05,9.5326e-05
40,265.775,0.76964,0.95086,1.01227,0.95435,0.96369,0.97429,0.76594,0.87896,0.94065,1.00197,8.7703e-05,8.7703e-05,8.7703e-05
41,275.687,0.68188,0.94818,0.93622,0.95043,0.96212,0.97475,0.76537,0.89402,0.95499,1.00876,8.008e-05,8.008e-05,8.008e-05
42,282.942,0.62108,0.90999,0.9199,0.95404,0.96136,0.97514,0.7622,0.89942,0.9708,1.00699,7.2457e-05,7.2457e-05,7.2457e-05
43,289.132,0.63679,0.92866,0.91479,0.94409,0.9638,0.97522,0.75401,0.90816,1.00837,1.01031,6.4834e-05,6.4834e-05,6.4834e-05
44,295.445,0.61796,0.93256,0.92953,0.93239,0.96683,0.9753,0.74562,0.91038,1.04962,1.0052,5.7211e-05,5.7211e-05,5.7211e-05
45,301.803,0.60132,0.90661,0.9157,0.94618,0.96471,0.97557,0.74318,0.9022,1.03929,1.00012,4.9588e-05,4.9588e-05,4.9588e-05
46,308.432,0.62725,0.95187,0.89428,0.95251,0.96191,0.97548,0.74495,0.89245,1.02197,0.99521,4.1965e-05,4.1965e-05,4.1965e-05
47,314.776,0.59056,0.9293,0.90637,0.98096,0.94697,0.97843,0.74665,0.88131,0.9986,0.98995,3.4342e-05,3.4342e-05,3.4342e-05
